"Stock","Alpha","Alpha_SE","Alpha_t","Alpha_p","Beta","Beta_SE","Beta_t","Beta_p","CAPM_Holds","CAPM_Decision"
"AAPL",0.00384737842186022,0.0050533044788916,0.761358916315312,0.44760703041129,1.38463976603482,0.282915974601693,4.89417314799634,0.00000246706936794195,"Yes","Consistent with CAPM: fail to reject alpha = 0"
"ADBE",0.00465817214634028,0.00488866773489514,0.952851042235988,0.342158718820655,1.53135048980119,0.273698567442165,5.59502559371187,0.0000000983467680619786,"Yes","Consistent with CAPM: fail to reject alpha = 0"
"ADP",0.000807007532855984,0.00188149498703817,0.428918247678335,0.668582114681669,0.847676862545665,0.105338000152102,8.04720861722898,2.12500782941006e-13,"Yes","Consistent with CAPM: fail to reject alpha = 0"
"AMD",-0.00061863275460789,0.00591394412773349,-0.104605782747728,0.91682474129667,2.32382663034237,0.331100030411123,7.0185032222948,6.70105803197801e-11,"Yes","Consistent with CAPM: fail to reject alpha = 0"
"DELL",0.00888385835821936,0.00410593435387269,2.16366302832878,0.0320320464558402,1.67499186360455,0.229876197689805,7.28649542857318,1.54760350099243e-11,"No","CAPM rejected: alpha is significantly different from 0"
"GTW",-0.00542533519125062,0.00562370105234811,-0.964726812600633,0.336194144818672,2.23280151739325,0.31485038567132,7.09162706798818,4.50383312683521e-11,"Yes","Consistent with CAPM: fail to reject alpha = 0"
"HP",0.0019004141408755,0.0036454981734074,0.521304373360639,0.602903607423836,0.87523428753338,0.204098065522556,4.28830271023148,0.0000316502537437221,"Yes","Consistent with CAPM: fail to reject alpha = 0"
"IBM",0.00262562271335366,0.00239801372735176,1.09491563096816,0.275263086723984,1.34792347110491,0.13425598904952,10.0399504010785,1.46672523566876e-18,"Yes","Consistent with CAPM: fail to reject alpha = 0"
"MSFT",0.00425554929642418,0.00292814230996487,1.45332734749331,0.148167625043075,1.45853864823221,0.163935943075781,8.89700343235886,1.46895095661393e-15,"Yes","Consistent with CAPM: fail to reject alpha = 0"
"ORCL",0.00391049958159532,0.00443943520803065,0.88085519854451,0.379768833889401,1.56760415366793,0.248547686728061,6.30705589862547,2.86814742354018e-09,"Yes","Consistent with CAPM: fail to reject alpha = 0"
